APEC blue,无
covert deals,无
the Olympic Extension,无
stay up late,"un. 整晚不睡；守着；迟睡
"
white-collar crime,利用职务便利的犯罪；白领犯罪
start from scratch,"na. 赤手空拳地开始；从起步线跑；从零开始；从头做起
"
century-old shop,无
seeing is believing, 眼见为实；百闻不如一见；眼见为凭
put on airs,"v. 装腔作势；端架子
"
act arrogant and superior,无
shake off poverty, 摆脱贫困
money worship,"n. 拜金主义
"
crew cut,"n. 平头
"
chartered flight,"un. 包机
"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
postgraduate recommendation,无
indemnificatory housing,无
indemnificatory apartment,无
cash deposit,"un. 现金存款
"
therapeutic massage, 保健按摩；治疗性按摩；治疗式按摩
shelf life,"n. 最佳食用日期
"
off the charts, 好得没治了；破记录；智商高的惊人
industry of windfall profits,无
reimburse,vt. 偿还；赔偿
be the scapegoat,无
bear the blame,"na. 负责；受责难
"
backpack tour,无
tragedy trump card,无
be released from quarantine,无
the year of one's animal sign,无
forced confession,强迫自白
extortive donation,无
unemployed graduate,无
disdain chain,无
match-throwing,无
closed-book exam,无
sidestep taxes,无
written confession,供状
disguise inflation,无
drag racing, 短程高速赛车；直线竞速赛；飙车
lip service,"n. 空口的应酬话；口惠
"
sick leave,"n. 病假；病假期
"
cram study sessions,无
bad loan,"un. 呆帐
"
bad practice, 习气
harmful practice,无
pedestrians-only street,无
residents of Chaoyang District,无
asset declaration,无
kitchen waste,"un. 厨房垃极；厨房垃圾
"
market manipulation,"un. 市场操纵
"
long-haul flight,无
maternity leave,"n. 产假
"
excess industrial capacity,无
standing committee,"un. 常务委员会
"
put on a rival show,无
tea ceremony,"n. 茶道（日本沏茶和饮茶的礼仪）
"
sado,n. 茶道; [地名] [尼日利亚] 萨多
excessive consumption,"un. 过度消耗
"
outdo oneself,"na. 得到空前成绩；尽自己最大的努力
"
car quota,无
auto show model,无
traffic subsidy,无
shirk,"vt. 逃避
vi. 推卸；逃避
"
pass the buck,"na. 推卸责任
"
urban management officer,无
sense of achievement, 成就感；有成就感；工作成就感
inter-city high-speed rail,无
inter-city train,城际列车
inter-city commuters,无
urban air corridor,无
urban housing fund,无
rural-urban integration,城乡整合
the integration of urban and rural areas,无
urban growth boundary,无
UGB, [医][=undecalcified granulated bone]未脱钙（异体）骨颗粒
ready-to-wear line,无
be given cold shoulder,无
be jealous, 吃醋；眼红；吃干醋
be green with envy, 十分嫉妒；眼热；非常嫉妒
on the government payroll,无
receive kickbacks,无
sought-after,adj. 受欢迎的，很吃香的
freeloading, 利用别人慷慨而占便宜的
renowned trademark,无
authorized busker,无
impulse buys, 点像冲动购买；冲动型购物；冲动购物
rechargeable card, 充值卡；充值卡的英文是；充值卡是
overlapping project,无
appearance fee,＝ appearance money
punching bag,"n. 出气筒；沙袋；(练习拳击用的)吊袋
"
maiden work, 处女作；指的就是处女作；贴身欲女
make life difficult for,无
make it hot for,"na. 使受不了；拼命攻击
"
pyramid scheme, 金字塔骗局；传销；层压式推销
run yellow lights,无
set a new record,"na. 创新记录
"
inaugural issue,无
pro-innovation government,无
briefing,"n. 简报；作战指示
v. 概述；作…的摘要（brief的现在分词）"
Spring Festival travel rush,无
secondary disaster, 次生灾害；二次灾害
whip-round,n. 募捐；凑份子
staggered rush hour,无
doctor food label,无
phishing WiFi,无
give a lift, 让…搭车；搭便车
taxi-hailing app,无
put ... in a doggy bag,无
wrap up,包裹；圆满完成；（使）穿得暖和（wrap somebody/yourself up）；注意力完全集中于……
take a nano nap,无
squeal on someone,无
working holiday visa,无
WHV, [医][=woodchuck hepatitis virus]土拨鼠肝炎病毒
food stand,"n. 餐店
"
snack stand,快餐摊位
A-list star,无
big V,无
verified Weibo users who have more than 500000 followers,无
affordable restaurant,无
junior college student, 大专生；专科生；大专生是
designated driver business,无
substitute teacher,"n. 代课教师
"
gift card, 礼品卡；礼物卡；礼券
surrogate motherhood, [医]代理母亲
surrogate mother,"n. 代孕母亲
"
paid annual leave, 带薪年假；带薪年休假；有薪年假
odd-even car ban,无
navigation satellite,"un. 〔军〕航行卫星；导航人造卫星
"
pirated book,无
moral bank,无
registered unemployment rate,无
low profile,"na. 隐蔽不露的活动；低姿态的活动
"
vulgar productions,无
phubber,指在社交场合注意力不集中喜欢看手机的人
low fertility trap,无
earth sinking,无
illegal bank,无
roll call,"n. 点名
"
give a like,无
TV home shopping,无
movie royalties,无
film rating system,无
film panorama,无
electric self-balancing scooter,无
degrade oneself, 掉价
revoke license,无
pique someone's interest,无
nail house, 钉子户；美容；美甲屋
top-level domain,顶级域名
top talents,无
designated hospital,无
customized calendar,无
host country,"un. 〔政〕东道国；所在国；侨居国；〔体〕主办国
"
ground-breaking ceremony,破土动工仪式
pep talk,"n. 〈非正式〉打气的话；激励人心的话
"
freezing rain,"un. 冻雨
"
jerry-built project,无
sever diplomatic relations, 断绝邦交
to one's taste,"un. 喜欢；合…口胃；合意的
"
quite to one's taste,无
video spoof,无
stupid,"n. 傻瓜，笨蛋
adj. 愚蠢的；麻木的；乏味的"
second-child policy,无
second-hand house, 二手房；二手住房；平均价格
second-hand home,无
second-hand home transaction,无
"""middleman"" landlord",无
re-shoot the plays,无
reverse mortgage, 反向抵押贷款；逆按揭；倒按揭
counter-terrorism unit,无
anti-monopoly probe,无
anti-dumping duty,"un. 反倾销税
"
meal pal,无
instant food,"un. 速熟食品
"
snacks,"n. [贸易] 小吃；快餐；零嘴（snack的复数）
v. 吃快餐；斗嘴（snack的三单形式）"
mortgage loan,"un. 抵押贷款
"
property tax,"na. 财产税
"
property ownership certificate,无
high temperature subsidy,无
excessive defense,无
illegal fishing, 非法捕鱼
match-fixing,"打假球
球赛造假
操纵比赛"
unauthorized transmission,无
illegal practice of medicine,无
