abase,vt. 使…谦卑；降低…的品格；降低…的地位
abdicate,"vt. 退位；放弃
vi. 退位；放弃"
abolition,n. 废除；废止
abreast,"adj. 并排的；肩并肩的
adv. 并肩地；并列"
abstain,vi. 自制；放弃；避免
accede,vi. 加入；同意；就任
additive,"n. 添加剂，添加物
adj. 附加的；[数] 加法的"
adept,"n. 内行；能手
adj. 熟练的；擅长…的"
aeronautics,n. 航空学；飞行术
affinity,n. 密切关系；吸引力；姻亲关系；类同
airborne,adj. [航] 空运的；空气传播的；风媒的
akin,"adj. 类似的；同类的；同族的
"
allegation,n. 指控; 陈述，主张; 宣称; 陈词，陈述;
allergic,adj. 对…过敏的；对…极讨厌的
allot,"vt. 分配；拨给；分派
"
amber,"n. 琥珀；琥珀色
adj. 琥珀色的；琥珀制的
vt. 使呈琥珀色"
amphibian,"n. [脊椎] 两栖动物；水陆两用飞机；具有双重性格的人
adj. 两栖类的；[车辆] 水陆两用的；具有双重性格的"
anabolism,n. [生化] 合成代谢；同化，同化作用
anarchism,n. 无政府主义
anatomy,n. 解剖；解剖学；剖析；骨骼
anew,adv. 重新；再
annex,"n. 附加物；附属建筑物
vt. 附加；获得；并吞"
antagonist,n. 敌手；[解剖] 对抗肌；[生化] 拮抗物；反协同试剂
anthropological,adj. 人类学的；人类学上的
anthropology,"n. 人类学
人类学家"
antibacterial,"n. 抗菌剂；抗菌药
adj. 抗菌的"
appraise,vt. 评价，鉴定；估价
apprehensive,adj. 忧虑的；不安的；敏悟的；知晓的
aquatic,"n. 水上运动；水生植物或动物
adj. 水生的；水栖的；在水中或水面进行的
"
archaeologist,n. 考古学家
arduous,adj. 努力的；费力的；险峻的
arid,adj. 干旱的；不毛的，[农] 荒芜的
artifice,"n. 诡计；欺骗；巧妙的办法
"
artillery,n. 火炮；大炮；炮队；炮术
arthritis,n. [外科] 关节炎
ascribe,vt. 归因于；归咎于
aspiration,n. 渴望；抱负；送气；吸气；吸引术
aspirin,n. 阿司匹林（解热镇痛药）
assent,"n. 同意；赞成
vi. 同意；赞成"
assort,"vt. 把…分级；把…归为一类
vi. 协调；交往"
astrology,n. 占星术；占星学；星座
astrophysicist,n. 天体物理学家
attentively,adv. 注意地；聚精会神地；周到地
authorize,vt. 批准，认可；授权给；委托代替
avenge,"vt. 替…报仇
vi. 报复，报仇"
backbone,n. 支柱；主干网；决心，毅力；脊椎
backdrop,n. 背景；背景幕；交流声
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
bakery,n. 面包店
barrenness,n. 不孕症；不育症；荒芜
barter,"n. 易货贸易；物物交换；实物交易
vt. 以…作为交换；拿…进行易货贸易
vi. 进行易货贸易；[贸易] 作物物交换；讨价还价
"
berry,"n. 浆果（葡萄，番茄等）
vi. 采集浆果
"
besiege,vt. 围困；包围；烦扰
biomedical,adj. 生物医学的
blanch,"n. 铅矿石
vi. 漂白；发白；变白
vt. 漂白；使变白
adj. 漂白的；银白色的
"
bland,"adj. 乏味的；温和的；冷漠的
vt. 使…变得淡而无味；除掉…的特性
vi. 变得平淡无奇；丧失特性
"
blockade,"n. 阻塞
vt. 封锁"
blockage,n. 堵塞，堵塞；封锁；妨碍
blot,"n. 污点，污渍；墨水渍
vt. 涂污，弄脏；用吸墨纸弄干（或除去）
vi. 吸墨水；弄上墨渍或污渍
"
bluff,"n. 吓唬；绝壁；断崖
vi. 吓唬
adj. 直率的；陡峭的
vt. 吓唬；愚弄"
bombard,"n. 射石炮
vt. 轰炸；炮击
"
bravery,"n. 勇敢；勇气
"
breakout,n. 爆发；突围；越狱；脱逃
breakthrough,n. 突破；突破性进展
brood,"n. 一窝；一伙
vt. 孵；沉思
"
brotherhood,"n. 兄弟关系；手足情谊；四海之内皆兄弟的信念
"
Buddhist,"n. 佛教徒
adj. 佛教的"
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别
"
by-product,n. 副产品；附带产生的结果；意外收获
calamity,"n. 灾难；不幸事件
"
calculus,n. [病理] 结石；微积分学
calf,n. [解剖] 腓肠，小腿；小牛；小牛皮；(鲸等大哺乳动物的)幼崽
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
carefree,adj. 无忧无虑的；不负责的
catalyze,vt. 催化；刺激，促进
