private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
angrily,adv. 愤怒地
attention,n. 注意力；关心；立正！（口令）
in the end,"na. 终于
"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑
"
rudely,adv. 无礼地；粗暴地
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围；[医] 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
camel,"n. [畜牧][脊椎] 骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸
"
donkey,n. 驴子；傻瓜；顽固的人
salty,adj. 咸的；含盐的
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引
"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
greedily,adv. 贪婪地；贪食地
beautifully,adv. 漂亮地；美好地
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结
"
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
ring,"n. 戒指；铃声，钟声；拳击场；环形物
vi. 按铃；敲钟；回响；成环形
vt. 按铃；包围；敲钟；套住
"
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
amusing,"adj. 有趣的，好玩的；引人发笑的
v. 逗乐；打发；使…高兴（amuse的ing形式）"
rarely,adv. 很少地；难得；罕有地
frequently,adv. 频繁地，经常地；时常，屡次
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
landlady,n. 女房东；女地主；女店主
hardly,adv. 几乎不，简直不；刚刚
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
at that moment, 在那时；就在那一刻；在那一瞬间
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地
"
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
go out,"na. 出去；灭；辞职；下台
"
run across sth.,"na. “Come across”的变体
"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
afraid,adj. 害怕的；恐怕；担心的
get out of sth.,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
"
shopkeeper,n. 店主，老板
