enhance environmental awareness,无
environmental protection, 环境保护；环保；环保性
keep ecological balance,无
ecosystem,n. 生态系统
nature reserve,"n. 自然保护区
"
sustainable development strategy,无
pleasant living environment,无
save energy, 节约能源；节省能源；节能
reduce the emission of greenhouse gases,无
slow down the rate of resource degradation,无
environment-friendly products,无
global warming,"n. 全球（气候）变暖；地球大气层变暖
"
low carbon economy, 低碳经济；低碳经济体；经济社会
clean renewable energy,无
nuclear energy,"n. 核能；原子能
"
solar energy,"na. 太阳能
"
high-power electrical appliance,无
carbon dioxide,"n. 二氧化碳
"
climate change,"n. 气候变化
"
environmental deterioration,"un. 环境恶化；环境诱发劣化
"
deforestation,n. 采伐森林；森林开伐
protect forests from overexploitation,无
water and soil erosion, 水土流失
desertification,n. （土壤）荒漠化；沙漠化（等于desertization）
population growth,"un. 人口增长；种群增长
"
wildlife protection,"《英汉医学词典》wildlife protection
野生生物保护区"
endangered species,"na. 【生】濒危物种
"
wild species,野生种
commercial fishing,"un. 商业性捕鱼
"
overfishing,"n. 渔捞过度
vt. 过度捕捞（overfish的现在分词）"
reckless exploitation,无
natural disasters,"n. 灾难
"
catastrophe,n. 大灾难；大祸；惨败
destructive and disastrous earthquake,无
sandstorm,n. [气象] 沙暴；大风沙
sand dune,"un. 沙丘；砂丘；沙垄
"
sand hill,"na. 沙丘
"
drought,"n. 干旱；缺乏
"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没
"
snowstorm,n. 暴风雪；雪暴
"""the-polluters-pay"" policy",无
law enforcement inspection,无
undertake treatment within a prescribed limit of time,无
white pollution, 白色污染；噪音污染；净化
limit the use of disposable plastic bags,无
ban the use of disposable plastic bags,无
prohibit the use of disposable plastic bags,无
throwaway bio-degradable plastic bags,无
disposable chopsticks, 一次性筷子；免洗筷；日本竹筷
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物
"
garbage classification,无
