cause,"n. 原因；事业；目标
vt. 引起；使遭受"
financial,adj. 金融的；财政的，财务的
afford,"vt. 给予，提供；买得起
"
tuition,n. 学费；讲授
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
remit,"n. 移交的事物
vt. 宽恕；免除；减轻；传送；使恢复原状
vi. 汇款；缓和"
donation,n. 捐款，捐赠物；捐赠
noble cause, 崇高目的；伟大的事业；崇高的目的
Project Hope, 希望工程；世界健康基金会；美国世界健康基金会
offer financial aid,无
seek out,"na. 找出；寻求；想获得
"
pay for,"na. 付开销；赔偿(损失)；(为某种过失)付出代价；吃亏
"
on an annual basis, 年同比；按年度基准；以每年的基础
secondary education,"n. 中等教育
"
remit one's donation,无
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；[工会、工党用语]（每年的）大会
vi. 举行或参加（系列）会议"
globalization,n. 全球化
requirement,n. 要求；必要条件；必需品
familiarity,n. 熟悉，精通；亲密；随便
proficiency,n. 精通，熟练
interpersonal,adj. 人际的；人与人之间的
responsibility,n. 责任，职责；义务
preference,n. 偏爱，倾向；优先权
experienced,adj. 老练的，熟练的；富有经验的
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
enquiry,n. [计] 询问，[贸易] 询盘
encourage,vt. 鼓励，怂恿；激励；支持
postgraduate,"n. 研究生，研究所学生
adj. 大学毕业后的"
be needed for sth.,无
the theme of sth.,无
proficiency in sth., 熟练；精通；熟练精通
sense of responsibility, 责任感；责任心；责任意识
experienced in sth., 有经验；在……有经验；对…有经验
reception,n. 接待；接收；招待会；感受；反应
cultural,adj. 文化的；教养的
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
memory,"n. 记忆，记忆力；内存，[计] 存储器；回忆
"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起
"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导
"
beforehand,"adj. 提前的；预先准备好的
adv. 事先；预先"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关
"
thank sb. for sth., 感谢；为……感谢；就…而感谢
cultural exchange program,无
leave a deep impression upon sb.,无
mention doing sth.,无
be warmly welcomed,无
best regards,"un. 最良好的问候
"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
